snid,class
93852051,EB
133953454,DSCT
156704754,DSCT
94869465,DSCT
143158599,EB
97209193,EB
118286557,DSCT
145870285,DSCT
107197896,EB
34324163,RRL
34829837,RRL
157406000,CEP
122530507,DSCT
67561377,DSCT
121329087,DSCT
111825956,CEP
118987354,CEP
38244498,DSCT
107444066,CEP
43986737,RRL
1574715,RRL
15834854,DSCT
6727535,RRL
129466762,DSCT
84351477,CEP
73130868,DSCT
69330474,EB
49662434,EB
129616639,EB
59674930,EB
79760425,EB
5278445,EB
50454525,RRL
41677216,EB
91518512,DSCT
131225139,DSCT
62213086,RRL
112417050,EB
8924533,RRL
32355304,DSCT
49131680,DSCT
81436792,DSCT
7226245,CEP
123777459,EB
133085134,EB
43651809,DSCT
4813549,DSCT
7327307,DSCT
122890278,CEP
106012967,EB
141612288,CEP
128759752,EB
108207970,DSCT
155040956,EB
105473593,DSCT
47905128,RRL
146455002,CEP
10109960,CEP
69080514,EB
36555319,EB
59654691,RRL
134686515,EB
68469871,CEP
18253394,RRL
70666985,CEP
1960760,RRL
130745784,CEP
45585289,CEP
55751240,CEP
37097991,DSCT
80575106,CEP
150311937,CEP
6478197,RRL
102226989,CEP
59599701,RRL
78363438,EB
42178656,CEP
139907056,CEP
19611654,RRL
77480759,EB
94881640,CEP
116509792,EB
29722190,RRL
150755569,DSCT
23857201,DSCT
45651190,CEP
145346043,EB
105037678,EB
53441798,DSCT
19485000,DSCT
1247849,RRL
7304435,CEP
131915559,DSCT
74269555,DSCT
22850838,RRL
62535237,CEP
93153392,DSCT
74376057,EB
114665578,EB
3099480,DSCT
155830144,DSCT
78762264,EB
130950085,CEP
98223230,CEP
4321572,DSCT
1867610,RRL
62047777,RRL
82592157,EB
115190521,DSCT
102470411,DSCT
66138269,RRL
42827273,DSCT
53532881,EB
157124651,EB
27226752,RRL
122266006,EB
73171124,DSCT
5488712,CEP
59513828,DSCT
54092463,CEP
106127662,EB
127129879,EB
23541810,RRL
94166681,EB
28164826,CEP
84945195,EB
33260862,EB
19131686,RRL
83087444,EB
102227408,DSCT
50537100,DSCT
59245585,CEP
40490521,RRL
54865275,RRL
129261155,EB
146388564,EB
144351489,DSCT
21516021,DSCT
36416163,RRL
120307057,EB
51650841,DSCT
46097179,RRL
143695181,CEP
48989806,RRL
50710360,RRL
2227994,DSCT
142136783,EB
29654513,RRL
114063946,EB
45393070,CEP
100494360,DSCT
34882116,CEP
12051774,RRL
75998173,EB
28286253,DSCT
45790032,EB
100957077,DSCT
87475659,CEP
14291647,EB
66836237,RRL
126162199,EB
15815906,RRL
102012435,EB
39391411,CEP
28579022,RRL
85884068,EB
121528401,CEP
60752230,RRL
39700060,RRL
41050339,RRL
146414053,DSCT
86845114,DSCT
19968855,RRL
11531830,RRL
11218222,RRL
61444829,RRL
101734527,CEP
153924478,CEP
131167044,CEP
44769365,CEP
42134694,RRL
106144939,EB
6958930,CEP
40008750,RRL
41475399,RRL
105597938,EB
86816895,EB
13813107,EB
130029412,CEP
64026012,RRL
148343662,DSCT
4045481,RRL
120343594,EB
70202269,RRL
153290083,EB
32302896,DSCT
81249021,EB
23604684,RRL
104763026,EB
75585879,EB
112505806,EB
62647378,RRL
146314449,EB
141223070,CEP
150812225,CEP
33565972,CEP
117057200,EB
42104222,DSCT
48066178,RRL
37383742,DSCT
46389110,CEP
115784944,EB
63585101,DSCT
137470925,CEP
83777184,EB
